With Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.comment TTC Yonge-University-Spadina (Line 1) (Vaughan Metropolitan Centre-Finch) $chr(13)$chr(13)Created by: C Dave Reage. Edited and Extended to Sheppard West by Michael Tham and Michael Boone. Edited and extended to Vaughan Metropolitan Centre by Shemar Bookal. Grade time signals and beacons added by Weilan Huang. Sheppard West to Finch edit by TrainsToronto. Please check for updates on a monthly basis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.timetable Toronto Transit Commission $chr(13)Yonge-University-Spadina Subway P.M Peak $chr(13)Downsview-Finch A2 TR Announcements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.gauge 1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.signal(1) 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.signal(2) 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.signal(3) 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.elevation -12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Image ../Object/TTC_YUS/image.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With Train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(0) 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(1) 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(2) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(3) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(4) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(16) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(17) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(18) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(19) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(20) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(21) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(28) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(29) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(30) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(31) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(34) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(35) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(36) 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(37) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(38) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(39) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(40) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(41) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(42) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(43) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(44) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(45) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(46) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(47) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(48) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(49) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(50) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(51) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(56) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(57) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(58) 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(59) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(60) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(61) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(62) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(63) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(64) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(65) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(66) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.run(67) 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
